"name","meaning","categories"
"Jaśmin indyjski","przywiązanie","przyjaźń"
"Jaśmin żółty","nasza miłość będzie pasjonująca","miłość romantyczna"
"Jaśminowiec","upajasz mnie","wpływ"
"Jałowiec","moi rodzice nie są zadowoleni","inne negatywne emocje"
"Jagoda","zdradziłem/zdradziłam","nienawiść"
"Janowiec","moje myśli o tobie są niczym barwne motyle","wyznania"
"Jaskier","jesteś niewdzięczna/niewdzięczny","cechy odbiorcy"
"Jeżyna","""pragnę cię","zazdrość"
"Jeżówka purpurowa","jesteś zręczny/zręczna","cechy odbiorcy"
"Judaszowiec","zdrada","nienawiść"
"Jodła (gałąź)","boję się cierpienia","smutek/żal"
"Juka","będę cię kochać aż do śmierci!","miłość romantyczna"
"Kaczeniec","smutno mi bez Ciebie","tęsknota"
"Kaktus","uważaj","ostrzeżenia"
"Kalina","""pocałuj mnie","miłość romantyczna"
"Kamelia","nasza miłość jest wieczna","miłość romantyczna"
"Kamelia japońska","skromność to twoja cnota","cechy odbiorcy"
"Kapryfolium","jesteś niestała/niestały w miłości","cechy odbiorcy"
"Kasztanowiec (kwiat)","bądź sprawiedliwy","prośba/propozycja"
"Kąkol","namawiasz mnie do grzechu","ostrzeżenia"
"Kokornak","ta miłość jest zaborcza","nienawiść"
"Kolcowój","wynagrodzę Ci to","obietnice"
"Nachyłek","łamiesz mi serce","smutek/żal"
"Nagietek","""chcę zasnąć w Twoich ramionach","miłość romantyczna"
"Naparstnica","nie jesteś do końca szczera/ szczery","cechy odbiorcy"
"Narcyz","jesteś bez serca","cechy odbiorcy"
"Nasturcja","płonę z miłości do ciebie","miłość romantyczna"
"Nawłoć pospolita","żartuję","inne pozytywne emocje"
"Nenufar","jesteś zimna i niedostępna","cechy odbiorcy"
"Niecierpek","tracę cierpliwość","gniew"
"Niezapominajka","nie zapomnij o mnie; pozwól mi być przy tobie","tęsknota"
"Nikocjana","wszelkie przeszkody zostaną pokonane","nadzieja/chęci"
"Ogórecznik","jestem szczera/ szczery wobec ciebie","cechy nadawcy"
"Oleander","to tylko flirt","miłość romantyczna"
"Oliwka (gałązka)","pogódźmy się","prośba/propozycja"
"Opuncja","to cierń w moim sercu","smutek/żal"
"Orchidea","jesteś najbardziej zmysłową kobietą na ziemi; zawsze będę cię kochać","miłość romantyczna"
"Orlik","""nasza miłość jest wieczna","miłość romantyczna"
"Oset","zemszczę się","nienawiść"
"Paproć","jestem szczery i proszę o to samo","cechy nadawcy"
"Passiflora","""nie ufam ci","ostrzeżenia"
"Pelargonia","pragnę twojego szczęścia","miłość romantyczna"
"Pierwiosnek","""coraz bardziej cię kocham","nadzieja/chęci"
"Piwonia","czuwam nad tobą","cechy nadawcy"
"Pokrzywa","""ranisz mi serce","cechy odbiorcy"
"Poziomka","pragnę cię","miłość romantyczna"
"Prawoślaz","jesteś taka delikatna","cechy odbiorcy"
"Prymula","""nie bądź nieśmiała","wyznania"
"Przebiśnieg","jeszcze będziemy szczęśliwi; przekonaj mnie do siebie","nadzieja/chęci"
"Rozmaryn","interesuję się tobą; brakuje mi ciebie","tęsknota"
"Róża czerwona","kocham i pragnę","miłość romantyczna"
"Róża biała","wzdycham do ciebie; kocham cię miłością czystą","miłość romantyczna"
"Róża żółta","""odwzajemnij moją miłość","zazdrość"
"Róża różowa","przysięgam miłość; wdzięk i elegancja","wyznania"
"Stokrotka","""cieszy mnie twoja obecność","inne pozytywne emocje"
"Szafirek","jesteś moim ideałem","cechy odbiorcy"
"Szarotka","niewinność","cechy nadawcy"
"Tulipan","""cieszę się na twój widok","miłość romantyczna"
"Tymianek","tęsknię za tobą","tęsknota"
"Werwena","to platoniczna miłość","miłość platoniczna"
"Wierzba","żałuję","smutek/żal"
"Wrzos","wolę samotność; nasze uczucie się wypaliło","żałoba"
"Zawilec","czasami mam ciebie dosyć","gniew"
"Złotokap","powodzenie","gratulacje"
"Żonkil","jestem zazdrosny","zazdrość"
